<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SANDP-FUT,60,20200121,100000,3321.0000000
SANDP-FUT,60,20200121,110000,3325.0000000
SANDP-FUT,60,20200121,120000,3327.8000000
SANDP-FUT,60,20200121,150000,3325.2000000
SANDP-FUT,60,20200121,160000,3319.5000000
SANDP-FUT,60,20200121,210000,3332.4000000
SANDP-FUT,60,20200121,230000,3334.3000000
SANDP-FUT,60,20200122,040000,3333.1000000
SANDP-FUT,60,20200122,060000,3332.0000000
SANDP-FUT,60,20200122,090000,3333.5000000
SANDP-FUT,60,20200122,110000,3332.0000000
SANDP-FUT,60,20200122,120000,3328.0000000
SANDP-FUT,60,20200122,160000,3319.8000000
SANDP-FUT,60,20200122,190000,3317.2000000
SANDP-FUT,60,20200122,210000,3317.9000000
SANDP-FUT,60,20200123,020000,3319.7000000
SANDP-FUT,60,20200123,030000,3317.7000000
SANDP-FUT,60,20200123,050000,3320.4000000
SANDP-FUT,60,20200123,080000,3315.2000000
SANDP-FUT,60,20200123,100000,3312.0000000
SANDP-FUT,60,20200123,110000,3305.5000000
SANDP-FUT,60,20200123,160000,3326.0000000
SANDP-FUT,60,20200124,030000,3335.3000000
SANDP-FUT,60,20200124,050000,3331.8000000
SANDP-FUT,60,20200124,080000,3333.1000000
SANDP-FUT,60,20200124,090000,3327.8000000
SANDP-FUT,60,20200124,100000,3318.5000000
SANDP-FUT,60,20200124,130000,3290.0000000
SANDP-FUT,60,20200124,140000,3283.8000000
SANDP-FUT,60,20200124,150000,3296.5000000
SANDP-FUT,60,20200124,160000,3292.3000000
SANDP-FUT,60,20200126,180000,3258.4000000
SANDP-FUT,60,20200126,190000,3264.5000000
SANDP-FUT,60,20200127,020000,3260.0000000
SANDP-FUT,60,20200127,030000,3263.4000000
SANDP-FUT,60,20200127,040000,3250.0000000
SANDP-FUT,60,20200127,050000,3247.0000000
SANDP-FUT,60,20200127,060000,3246.9000000
SANDP-FUT,60,20200127,070000,3249.2000000
SANDP-FUT,60,20200127,080000,3244.6000000
SANDP-FUT,60,20200127,090000,3247.0000000
SANDP-FUT,60,20200127,100000,3245.5000000
SANDP-FUT,60,20200127,110000,3240.5000000
SANDP-FUT,60,20200127,130000,3254.8000000
SANDP-FUT,60,20200127,150000,3243.0000000
SANDP-FUT,60,20200127,160000,3241.7000000
SANDP-FUT,60,20200127,180000,3246.2000000
SANDP-FUT,60,20200127,200000,3251.0000000
SANDP-FUT,60,20200127,230000,3255.1000000
SANDP-FUT,60,20200128,000000,3256.8000000
SANDP-FUT,60,20200128,010000,3260.0000000
SANDP-FUT,60,20200128,030000,3253.1000000
SANDP-FUT,60,20200128,060000,3248.8000000
SANDP-FUT,60,20200128,070000,3260.9000000
SANDP-FUT,60,20200128,080000,3258.7000000
SANDP-FUT,60,20200128,090000,3257.0000000
SANDP-FUT,60,20200128,100000,3275.0000000
SANDP-FUT,60,20200128,110000,3278.5000000
SANDP-FUT,60,20200128,130000,3277.0000000
SANDP-FUT,60,20200128,140000,3283.5000000
SANDP-FUT,60,20200128,150000,3282.5000000
SANDP-FUT,60,20200128,160000,3279.7000000
SANDP-FUT,60,20200128,200000,3289.3000000
SANDP-FUT,60,20200129,010000,3287.3000000
SANDP-FUT,60,20200129,020000,3284.5000000
SANDP-FUT,60,20200129,030000,3285.3000000
SANDP-FUT,60,20200129,070000,3292.5000000
SANDP-FUT,60,20200129,080000,3286.0000000
SANDP-FUT,60,20200129,090000,3281.0000000
SANDP-FUT,60,20200129,100000,3273.5000000
SANDP-FUT,60,20200129,110000,3284.2000000
SANDP-FUT,60,20200129,130000,3285.0000000
SANDP-FUT,60,20200129,150000,3274.0000000
SANDP-FUT,60,20200129,160000,3272.4000000
SANDP-FUT,60,20200129,190000,3268.5000000
SANDP-FUT,60,20200129,200000,3267.7000000
SANDP-FUT,60,20200129,210000,3257.4000000
SANDP-FUT,60,20200130,000000,3252.8000000
SANDP-FUT,60,20200130,020000,3246.8000000
SANDP-FUT,60,20200130,030000,3249.0000000
SANDP-FUT,60,20200130,040000,3251.4000000
SANDP-FUT,60,20200130,080000,3256.2000000
SANDP-FUT,60,20200130,090000,3263.0000000
SANDP-FUT,60,20200130,100000,3244.0000000
SANDP-FUT,60,20200130,110000,3254.0000000
SANDP-FUT,60,20200130,120000,3247.0000000
SANDP-FUT,60,20200130,140000,3261.0000000
SANDP-FUT,60,20200130,150000,3281.5000000
SANDP-FUT,60,20200130,160000,3293.0000000
SANDP-FUT,60,20200130,190000,3288.8000000
SANDP-FUT,60,20200130,200000,3291.7000000
SANDP-FUT,60,20200131,020000,3286.0000000
SANDP-FUT,60,20200131,060000,3274.1000000
SANDP-FUT,60,20200131,080000,3274.0000000
SANDP-FUT,60,20200131,090000,3261.0000000
SANDP-FUT,60,20200131,100000,3245.0000000
SANDP-FUT,60,20200131,110000,3243.0000000
SANDP-FUT,60,20200131,120000,3235.2000000
SANDP-FUT,60,20200131,130000,3223.0000000
SANDP-FUT,60,20200131,140000,3235.0000000
SANDP-FUT,60,20200131,150000,3215.3000000
SANDP-FUT,60,20200131,160000,3227.5000000
SANDP-FUT,60,20200202,180000,3234.4000000
SANDP-FUT,60,20200202,200000,3247.4000000
SANDP-FUT,60,20200202,210000,3242.9000000
SANDP-FUT,60,20200203,000000,3246.0000000
SANDP-FUT,60,20200203,020000,3245.0000000
SANDP-FUT,60,20200203,030000,3241.3000000
SANDP-FUT,60,20200203,050000,3235.7000000
SANDP-FUT,60,20200203,060000,3240.7000000
SANDP-FUT,60,20200203,090000,3257.2000000
SANDP-FUT,60,20200203,100000,3257.3000000
SANDP-FUT,60,20200203,110000,3249.5000000
SANDP-FUT,60,20200203,160000,3245.6000000
SANDP-FUT,60,20200203,180000,3239.1000000
SANDP-FUT,60,20200203,200000,3250.2000000
SANDP-FUT,60,20200203,220000,3262.7000000
SANDP-FUT,60,20200204,000000,3265.1000000
SANDP-FUT,60,20200204,020000,3265.6000000
SANDP-FUT,60,20200204,030000,3279.0000000
SANDP-FUT,60,20200204,040000,3283.5000000
SANDP-FUT,60,20200204,060000,3280.6000000
SANDP-FUT,60,20200204,070000,3285.7000000
SANDP-FUT,60,20200204,090000,3286.0000000
SANDP-FUT,60,20200204,100000,3293.0000000
SANDP-FUT,60,20200204,110000,3301.7000000
SANDP-FUT,60,20200204,120000,3301.0000000
SANDP-FUT,60,20200204,130000,3300.0000000
SANDP-FUT,60,20200204,150000,3294.5000000
SANDP-FUT,60,20200204,160000,3299.5000000
SANDP-FUT,60,20200205,010000,3292.5000000
SANDP-FUT,60,20200205,030000,3306.7000000
SANDP-FUT,60,20200205,050000,3325.0000000
SANDP-FUT,60,20200205,060000,3323.5000000
SANDP-FUT,60,20200205,070000,3321.3000000
SANDP-FUT,60,20200205,080000,3327.0000000
SANDP-FUT,60,20200205,100000,3319.5000000
SANDP-FUT,60,20200205,110000,3319.5000000
SANDP-FUT,60,20200205,130000,3326.0000000
SANDP-FUT,60,20200205,150000,3331.5000000
SANDP-FUT,60,20200205,160000,3335.0000000
SANDP-FUT,60,20200205,200000,3345.1000000
SANDP-FUT,60,20200205,210000,3346.7000000
SANDP-FUT,60,20200205,230000,3352.0000000
SANDP-FUT,60,20200206,040000,3349.0000000
SANDP-FUT,60,20200206,070000,3344.3000000
SANDP-FUT,60,20200206,090000,3336.0000000
SANDP-FUT,60,20200206,100000,3343.0000000
SANDP-FUT,60,20200206,110000,3343.0000000
SANDP-FUT,60,20200206,150000,3343.0000000
SANDP-FUT,60,20200206,160000,3345.6000000
SANDP-FUT,60,20200207,030000,3340.9000000
SANDP-FUT,60,20200207,050000,3334.0000000
SANDP-FUT,60,20200207,060000,3327.0000000
SANDP-FUT,60,20200207,070000,3335.6000000
SANDP-FUT,60,20200207,080000,3334.6000000
SANDP-FUT,60,20200207,090000,3332.7000000
SANDP-FUT,60,20200207,110000,3338.0000000
SANDP-FUT,60,20200207,120000,3336.5000000
SANDP-FUT,60,20200207,130000,3331.0000000
SANDP-FUT,60,20200207,140000,3328.5000000
SANDP-FUT,60,20200207,150000,3328.0000000
SANDP-FUT,60,20200207,160000,3325.5000000
SANDP-FUT,60,20200209,180000,3306.8000000
SANDP-FUT,60,20200209,190000,3313.7000000
SANDP-FUT,60,20200209,200000,3317.3000000
SANDP-FUT,60,20200210,020000,3327.2000000
SANDP-FUT,60,20200210,050000,3326.6000000
SANDP-FUT,60,20200210,070000,3326.2000000
SANDP-FUT,60,20200210,080000,3325.1000000
SANDP-FUT,60,20200210,090000,3326.0000000
SANDP-FUT,60,20200210,110000,3340.5000000
SANDP-FUT,60,20200210,120000,3335.3000000
SANDP-FUT,60,20200210,160000,3352.6000000
SANDP-FUT,60,20200210,180000,3352.4000000
SANDP-FUT,60,20200211,010000,3363.0000000
SANDP-FUT,60,20200211,020000,3360.5000000
SANDP-FUT,60,20200211,070000,3359.6000000
SANDP-FUT,60,20200211,080000,3365.0000000
SANDP-FUT,60,20200211,100000,3371.0000000
SANDP-FUT,60,20200211,110000,3365.0000000
SANDP-FUT,60,20200211,120000,3364.5000000
SANDP-FUT,60,20200211,160000,3357.6000000
SANDP-FUT,60,20200211,200000,3359.6000000
SANDP-FUT,60,20200212,020000,3366.2000000
SANDP-FUT,60,20200212,030000,3370.0000000
SANDP-FUT,60,20200212,040000,3369.9000000
SANDP-FUT,60,20200212,060000,3370.9000000
SANDP-FUT,60,20200212,070000,3371.6000000
SANDP-FUT,60,20200212,080000,3372.0000000
SANDP-FUT,60,20200212,090000,3375.0000000
SANDP-FUT,60,20200212,100000,3370.5000000
SANDP-FUT,60,20200212,110000,3375.3000000
SANDP-FUT,60,20200212,120000,3376.0000000
SANDP-FUT,60,20200212,130000,3373.0000000
SANDP-FUT,60,20200212,150000,3376.0000000
SANDP-FUT,60,20200212,160000,3380.5000000
SANDP-FUT,60,20200212,180000,3365.0000000
SANDP-FUT,60,20200213,010000,3367.3000000
SANDP-FUT,60,20200213,020000,3366.2000000
SANDP-FUT,60,20200213,040000,3357.0000000
SANDP-FUT,60,20200213,050000,3358.3000000
SANDP-FUT,60,20200213,080000,3360.1000000
SANDP-FUT,60,20200213,090000,3371.0000000
SANDP-FUT,60,20200213,100000,3373.0000000
SANDP-FUT,60,20200213,110000,3375.0000000
SANDP-FUT,60,20200213,130000,3375.0000000
SANDP-FUT,60,20200213,150000,3375.0000000
SANDP-FUT,60,20200213,160000,3377.4000000
SANDP-FUT,60,20200213,180000,3376.0000000
SANDP-FUT,60,20200213,200000,3378.2000000
SANDP-FUT,60,20200214,030000,3381.9000000
SANDP-FUT,60,20200214,060000,3382.8000000
SANDP-FUT,60,20200214,070000,3386.0000000
SANDP-FUT,60,20200214,080000,3379.7000000
SANDP-FUT,60,20200214,090000,3374.5000000
SANDP-FUT,60,20200214,100000,3373.0000000
SANDP-FUT,60,20200214,130000,3370.0000000
SANDP-FUT,60,20200214,150000,3371.5000000
SANDP-FUT,60,20200214,160000,3380.9000000
SANDP-FUT,60,20200217,030000,3387.5000000
SANDP-FUT,60,20200217,040000,3388.5000000
SANDP-FUT,60,20200217,050000,3389.3000000
SANDP-FUT,60,20200217,070000,3387.3000000
SANDP-FUT,60,20200217,090000,3387.4000000
SANDP-FUT,60,20200217,110000,3388.6000000
SANDP-FUT,60,20200217,120000,3388.3000000
SANDP-FUT,60,20200217,180000,3373.1000000
SANDP-FUT,60,20200217,190000,3373.3000000
SANDP-FUT,60,20200218,020000,3368.9000000
SANDP-FUT,60,20200218,040000,3363.8000000
SANDP-FUT,60,20200218,050000,3367.0000000
SANDP-FUT,60,20200218,060000,3365.0000000
SANDP-FUT,60,20200218,080000,3367.2000000
SANDP-FUT,60,20200218,090000,3373.0000000
SANDP-FUT,60,20200218,110000,3358.5000000
SANDP-FUT,60,20200218,160000,3370.7000000
SANDP-FUT,60,20200218,180000,3378.4000000
SANDP-FUT,60,20200218,190000,3375.6000000
SANDP-FUT,60,20200219,020000,3379.2000000
SANDP-FUT,60,20200219,050000,3376.9000000
SANDP-FUT,60,20200219,080000,3378.3000000
SANDP-FUT,60,20200219,090000,3386.5000000
SANDP-FUT,60,20200219,130000,3390.0000000
SANDP-FUT,60,20200219,140000,3393.0000000
SANDP-FUT,60,20200219,160000,3387.2000000
SANDP-FUT,60,20200219,190000,3394.9000000
SANDP-FUT,60,20200219,200000,3391.0000000
SANDP-FUT,60,20200220,080000,3381.5000000
SANDP-FUT,60,20200220,090000,3382.5000000
SANDP-FUT,60,20200220,100000,3387.0000000
SANDP-FUT,60,20200220,120000,3350.2000000
SANDP-FUT,60,20200220,130000,3364.8000000
SANDP-FUT,60,20200220,150000,3370.0000000
SANDP-FUT,60,20200220,160000,3369.2000000
SANDP-FUT,60,20200220,180000,3357.6000000
SANDP-FUT,60,20200220,190000,3360.9000000
SANDP-FUT,60,20200220,200000,3360.7000000
SANDP-FUT,60,20200220,210000,3358.2000000
SANDP-FUT,60,20200221,000000,3355.2000000
SANDP-FUT,60,20200221,050000,3354.4000000
SANDP-FUT,60,20200221,070000,3362.1000000
SANDP-FUT,60,20200221,090000,3356.0000000
SANDP-FUT,60,20200221,100000,3342.0000000
SANDP-FUT,60,20200221,120000,3343.5000000
SANDP-FUT,60,20200221,130000,3338.0000000
SANDP-FUT,60,20200221,140000,3334.0000000
SANDP-FUT,60,20200221,160000,3339.3000000
SANDP-FUT,60,20200223,180000,3293.3000000
SANDP-FUT,60,20200223,190000,3297.3000000
SANDP-FUT,60,20200223,200000,3299.0000000
SANDP-FUT,60,20200223,210000,3285.9000000
SANDP-FUT,60,20200223,220000,3287.3000000
SANDP-FUT,60,20200224,020000,3287.2000000
SANDP-FUT,60,20200224,030000,3264.5000000
SANDP-FUT,60,20200224,040000,3259.2000000
SANDP-FUT,60,20200224,050000,3246.0000000
SANDP-FUT,60,20200224,060000,3258.9000000
SANDP-FUT,60,20200224,070000,3261.0000000
SANDP-FUT,60,20200224,080000,3247.0000000
SANDP-FUT,60,20200224,100000,3248.0000000
SANDP-FUT,60,20200224,110000,3235.5000000
SANDP-FUT,60,20200224,120000,3226.0000000
SANDP-FUT,60,20200224,130000,3230.2000000
SANDP-FUT,60,20200224,140000,3241.0000000
SANDP-FUT,60,20200224,150000,3238.5000000
SANDP-FUT,60,20200224,160000,3224.0000000
SANDP-FUT,60,20200224,180000,3231.8000000
SANDP-FUT,60,20200224,190000,3247.4000000
SANDP-FUT,60,20200224,200000,3255.0000000
SANDP-FUT,60,20200224,210000,3247.3000000
SANDP-FUT,60,20200225,030000,3246.3000000
SANDP-FUT,60,20200225,040000,3239.3000000
SANDP-FUT,60,20200225,050000,3231.1000000
SANDP-FUT,60,20200225,060000,3230.4000000
SANDP-FUT,60,20200225,070000,3237.8000000
SANDP-FUT,60,20200225,080000,3239.9000000
SANDP-FUT,60,20200225,090000,3232.0000000
SANDP-FUT,60,20200225,100000,3194.5000000
SANDP-FUT,60,20200225,110000,3192.0000000
SANDP-FUT,60,20200225,120000,3171.5000000
SANDP-FUT,60,20200225,130000,3155.0000000
SANDP-FUT,60,20200225,140000,3139.0000000
SANDP-FUT,60,20200225,150000,3123.0000000
SANDP-FUT,60,20200225,160000,3140.8000000
SANDP-FUT,60,20200225,180000,3151.8000000
SANDP-FUT,60,20200225,190000,3135.4000000
SANDP-FUT,60,20200225,200000,3143.8000000
SANDP-FUT,60,20200225,210000,3155.0000000
SANDP-FUT,60,20200225,230000,3151.8000000
SANDP-FUT,60,20200226,010000,3133.9000000
SANDP-FUT,60,20200226,020000,3141.9000000
SANDP-FUT,60,20200226,030000,3123.9000000
SANDP-FUT,60,20200226,040000,3113.6000000
SANDP-FUT,60,20200226,050000,3121.0000000
SANDP-FUT,60,20200226,060000,3138.8000000
SANDP-FUT,60,20200226,070000,3137.4000000
SANDP-FUT,60,20200226,080000,3147.5000000
SANDP-FUT,60,20200226,090000,3159.2000000
SANDP-FUT,60,20200226,100000,3175.0000000
SANDP-FUT,60,20200226,110000,3155.0000000
SANDP-FUT,60,20200226,120000,3143.0000000
SANDP-FUT,60,20200226,130000,3120.0000000
SANDP-FUT,60,20200226,140000,3116.0000000
SANDP-FUT,60,20200226,150000,3119.0000000
SANDP-FUT,60,20200226,160000,3101.5000000
SANDP-FUT,60,20200226,180000,3103.6000000
SANDP-FUT,60,20200226,190000,3098.4000000
SANDP-FUT,60,20200226,200000,3086.5000000
SANDP-FUT,60,20200226,210000,3076.4000000
SANDP-FUT,60,20200226,220000,3073.0000000
SANDP-FUT,60,20200226,230000,3062.0000000
SANDP-FUT,60,20200227,000000,3062.3000000
SANDP-FUT,60,20200227,010000,3083.6000000
SANDP-FUT,60,20200227,020000,3088.4000000
SANDP-FUT,60,20200227,030000,3094.3000000
SANDP-FUT,60,20200227,040000,3091.3000000
SANDP-FUT,60,20200227,050000,3087.4000000
SANDP-FUT,60,20200227,060000,3084.8000000
SANDP-FUT,60,20200227,070000,3070.9000000
SANDP-FUT,60,20200227,080000,3062.2000000
